27177451,27177451,0,(少于10人评价),[美] 唐娜·亨德森 (Donna A.Henderson)、[美] 查尔斯·汤普森 (Charles L.Thompson) / 张玉川 / 中国人民大学出版社 / 2009-1 / 75.00元
25894639,25894639,8.3,(21人评价),（美）斯坦利•格林斯潘、（美）南希•布鲁斯劳•刘易斯 / 孙春晨 / 华夏出版社 / 2014-1-1 / 49.00
10454001,10454001,9.0,(83人评价),弗朗索瓦兹·多尔多 / 王文新 / 上海社会科学院出版社 / 2012-2 / 42.00元
30252607,30252607,8.2,(18人评价),[法] 迪迪埃·莱维 文、[法] 法布里斯·蒂里耶 图 / 高郁茗 / 河北教育出版社 / 2016-12 / 39.80元
3237013,3237013,,(15人评价),让·皮亚杰 / 傅统先 / 文化教育出版社 / 1981 / 0.45
6777609,6777609,8.9,(13人评价),晏红 / 中国妇女出版社 / 2011-7 / 29.80元
1912458,1912458,9.2,(34人评价),西格勒 / 刘电芝 / 北京世界图书出版公司 / 2006-9 / 46.00元
26304087,26304087,9.1,(2180人评价),【美】鲁道夫·德雷克斯、【美】薇姬·索尔兹 / 甄颖 / 生活·读书·新知三联书店 生活书店出版有限公司 / 2015-1 / 48.00元
34786958,34786958,9.5,(44人评价),托德老师 / 机械工业出版社 / 2019-8 / 59.00
27600344,27600344,8.2,(96人评价),【美】迈克尔.汤普森、【美】劳伦斯.科恩、【美】凯瑟琳.奥尼尔.格雷斯 / 钟煜 / 中国人口出版社 / 2017-12-5 / 48
26816550,26816550,8.6,(54人评价),[英]梅兰妮·克莱茵 / 吕煦宗、刘慧卿 / 世界图书出版公司北京公司 / 2016-7 / 62.00元
6873377,6873377,8.3,(40人评价),约翰•戈特曼 / 崔成爱、赵碧 / 沈阳出版社 / 2011-10 / 45.00元
30132649,30132649,9.2,(15人评价),[美]马乔里·J.科斯特尔尼克、等 / 王晓波 / 中国轻工业出版社 / 2018-2 / 98.00元
34970794,34970794,8.2,(202人评价),陈忻 / 中信出版集团 / 2020-4 / 49.80元
3033646,3033646,0,(少于10人评价),萨特勒 / 陈会昌 / 2008-3 / 58.00元
10471901,10471901,6.9,(54人评价),玛丽亚·蒙台梭利 / 蒙台梭利丛书编委会 / 中国妇女 / 2012-1 / 22.00元
1539376,1539376,8.3,(17人评价),陈帼眉 / 北京师范大学出版社 / 1995-1 / 20.00元
27078194,27078194,8.3,(48人评价),Daniel Stern / 张庆 / 华东师范大学出版社有限公司 / 2017-6-1 / 42.00
26997428,26997428,8.5,(12人评价),劳伦·鲁本斯坦 / 化学工业出版社 / 2016-8-1 / CNY 15.80
1268061,1268061,8.5,(22人评价),（美）贝克 / 吴颖 / 江苏教育出版社 / 2002-12-01 / 95.0
26681417,26681417,9.1,(1061人评价),托马斯·戈登 / 琼林 / 中国发展出版社 / 2015-10-13 / CNY 35.00
35049780,35049780,,(11人评价),高岚 / 中国妇女出版社 / 59.8元
34794128,34794128,0,(少于10人评价),柏燕谊 / 江苏凤凰文艺出版社 / 2019-8 / 45.00元
30854846,30854846,0,(目前无人评价),刘晶波 / 教育科学出版社 / 55元
6773057,6773057,7.7,(114人评价),孙瑞敏 / 2011-10 / 28.00元
26108486,26108486,8.6,(18人评价),[澳] 苏珊·佩罗 / 春华、淑芬 / 天津教育出版社 / 2014-8-1 / 45
26841287,26841287,8.9,(25人评价),Russell A. Barkley / 王思睿 等 / 中国轻工业出版社 / 2016-5 / 66.00
5452392,5452392,0,(少于10人评价),"Miller, Patricia H. / 2010-3 / $ 113.85"
26353634,26353634,8.9,(28人评价),"（美）毕比（Beebe, B.） / 庞美云 等译 / 中国轻工业出版社 / 2015-3-1"
25414222,25414222,8.3,(24人评价),希瑟•朗扎克 (Heather Lonczak)、马西•拉姆齐 (Marcy Ramsey) / 陈浅浅、卓文如 (注译) / 化学工业出版社 / 2013-9-1 / 12.8
26914648,26914648,8.9,(15人评价),李文玲、舒华 主编 / 北京师范大学出版社 / 2016-11 / 108.00元
27133522,27133522,7.0,(120人评价),阿尔弗雷德·阿德勒 / 张晓晨 / 上海三联书店 / 2017-4 / 32.8
1922254,1922254,8.0,(22人评价),劳特(Lauth.G.W)^施洛特克 / 杨文丽^叶静月 / 四川大学出版社 / 2006-6 / 45.00元
33479000,33479000,0,(目前无人评价),Wolfgang Goebel  /  Michaela Glöckler / 林玉珠 等 / 心理出版社 / NT$550
1789220,1789220,9.0,(19人评价),梅蘭妮．克萊恩 / 丘羽先 / 心靈工坊 / 2006 / 新台幣750元
2122634,2122634,8.8,(87人评价),（美）盖瑞·查普曼博士 / 呈瑞诚 / 江西人民出版社 / 2007-6 / 20.00元
34446117,34446117,8.0,(215人评价),[美]艾莉森•高普尼克、[美]安德鲁•梅尔佐夫、[美]帕特里夏•库尔 / 林文韵、杨田田 / 湛庐文化/浙江人民出版社 / 2019-7-5 / 69.90元
5243745,5243745,8.9,(26人评价),唐諾‧溫尼考特 Donald Winnicott / 朱恩伶 / 2009 年 08 月 07 日 / 360元
27152294,27152294,6.4,(45人评价),李群锋 / 古吴轩出版社 / 2017-9 / 38.00元
3583739,3583739,8.4,(72人评价),唐諾‧溫尼考特 Donald W. Winnico / 朱恩伶 / 心靈工坊文化事業股份有限公司 / 2009 年 03 月 05 日 / 320元
26702863,26702863,0,(少于10人评价),冯夏婷 / 中国轻工业出版社 / 2014-2 / 36
27075727,27075727,9.1,(50人评价),Wallace E Dixon / 王思睿、许应花 / 中国轻工业出版社 / 2017-7-1 / 76.00元
4909300,4909300,7.2,(19人评价),吉沅洪 / 华东师范大学出版社 / 2010-7 / 36.00元
34808480,34808480,7.8,(151人评价),[加]艾莉森·高普尼克 / 杨彦捷 / 湛庐文化/浙江人民出版社 / 2019-9-10 / 69.90元
